title,author,content,category
Adani Transmission becomes India's 8th most valued company,Hiral Goyal,"Adani Transmission has entered the club of India's top 10 most valuable companies, surpassing LIC and HDFC in market value. The Gautam Adani-led company has become India's eighth most valued company, with a market capitalisation of ₹4.42 lakh crore, after its shares hit all-time high on Tuesday. Notably, Adani is the world's third richest person with a $137 billion fortune.  ",business
Musk cites whistleblower's claims in new notice as reason to end Twitter deal,Ridham Gambhir,"Tesla CEO Elon Musk's legal team has filed another notice informing about the termination of his $44 billion deal to buy Twitter, citing additional reasons. The follow-up notice cited allegations made by whistleblower Peiter Zatko as additional reasons to terminate the deal and stated that those allegations were known to Twitter prior to July 8 but weren't disclosed to them. ",business
No plan to rebrand Zomato app to Eternal: CEO Deepinder Goyal,Hiral Goyal,"Zomato CEO Deepinder Goyal clarified in an exchange filing that there's no plan to rebrand the company's app to 'Eternal'. Goyal had earlier informed staff that the larger organisation would be known as 'Eternal' and it would have multiple CEOs. ""We didn't want the Blinkit team to feel like a step-child [post acquisition]...Eternal remains an internal identity,"" Goyal further said.  ",business
"Cancelling AC, first-class confirmed train tickets to now attract 5% GST",Ridham Gambhir,"The Finance Ministry stated that cancellation of confirmed first-class and AC coach tickets will now attract 5% GST. As per their circular, the booking of tickets is a ""contract"", under which the service provider (IRCTC/Indian Railways) promises services to the customer. And if the contract is breached by the passenger, the service provider is compensated with a small amount. ",business
China arrests over 230 people tied to its largest-ever bank fraud of $5.8 billion,Hiral Goyal,"China has announced that 234 people who are suspected of being involved in the nation's largest-ever bank fraud have been arrested. A criminal gang illegally controlled four rural lenders, offering rates as high as 18% to attract funds amounting to $5.8 billion, local authorities said. Earlier, hundreds of victims launched protests in China after being denied access to their deposits.   ",business
Bank of India files insolvency plea with NCLT against Future Lifestyle Fashions,Ashley Paul,"Bank of India has filed a petition with the National Company Law Tribunal (NCLT) to initiate insolvency proceedings against Future Lifestyle Fashions Limited (FLFL). FLFL is already facing two insolvency petitions, claiming defaults on amounts of ₹451.98 crore and ₹150.37 crore. FLFL had said its liabilities exceeded its assets by ₹1,180.66 crore as of March 31, 2022.",business
Mukesh Ambani lays succession plan; allots Retail to Isha & energy to Anant,Ridham Gambhir,"Reliance Industries' Chairman Mukesh Ambani announced his youngest son Anant as leader of his new energy business and daughter Isha as leader of Reliance Retail during the AGM. Earlier in June, Akash Ambani was appointed as Chairman of Reliance Jio Infocomm. Mukesh also asserted that he isn't retiring yet and will ""continue to provide hands-on leadership as before"".",business
"We need to use more oil & gas, not less, otherwise civilisation will crumble: Musk",Hiral Goyal,"Tesla CEO Elon Musk, during an energy conference in Norway, said, ""Realistically, I think we need to use oil and gas in the short term, because otherwise civilisation will crumble."" The billionaire said that the world needs ""more oil and gas, not less"". He also flagged the transition to sustainable energy and economy as one of the world's biggest challenges.",business
"BSE Sensex jumps over 1,000 pts to trade above 59,000, Nifty tops 17,600",Ridham Gambhir,"BSE Sensex was trading up by over 1,200 points or 2.09% at 59,180.72 while Nifty jumped 350 points or 2.02% at 17,663 during Tuesday's intraday trade. On Sensex, Bajaj Finserv stock was up by 5%, Tech Mahindra and IndusInd Bank jumped nearly 4%. On Monday, the 30-scrip index suffered its worst single-day fall in over 10 weeks amid global sell-off. 
",business
Most of crypto still junk: JP Morgan's digital assets division head,Ashley Paul,"JP Morgan's digital assets division head Umar Farooq said majority of crypto assets are ""junk"" and actual crypto use cases haven't fully materialised. Regulation hasn't kept up with the expanding industry, thereby discouraging many conventional financial institutions from participating, he said. Industry hasn't developed sufficiently to be used to support high-value serious transactions, he added.",business
